PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.75,91.25,-1.1,2.2,4.63,8.13,10.3,12.75,13.23,13.3,11.81,8.48,5.23,3.32,7.7
T2M,2016,27.75,91.75,-4.18,-0.57,1.86,5.22,7.52,10.31,10.79,10.9,9.44,5.93,2.71,0.74,5.07
T2M,2016,27.75,92.25,-4.12,-0.41,2.1,5.54,7.66,10.44,10.96,10.97,9.6,6.2,2.89,0.76,5.23
T2M,2016,27.75,92.75,-0.43,2.98,5.59,9.02,10.79,13.31,13.84,14.08,12.51,9.56,6.15,3.98,8.46
T2M,2016,28.25,90.25,-11.1,-6.46,-4.5,-1.02,2.17,5.59,6.16,5.62,4.05,0.57,-3.72,-6.07,-0.72
T2M,2016,28.25,90.75,-10.73,-5.9,-3.89,-0.59,2.56,5.71,6.35,5.71,4.43,0.88,-3.26,-5.57,-0.35
T2M,2016,28.25,91.25,-8.45,-3.39,-1.74,1.49,4.06,7.02,7.49,7.05,5.75,2.24,-1.35,-3.23,1.42
T2M,2016,28.25,91.75,-9.7,-4.49,-2.31,0.83,3.37,6.64,7.03,6.61,5.27,1.54,-2.15,-4.25,0.7
T2M,2016,28.25,92.25,-9.02,-3.89,-1.67,1.62,3.9,6.93,7.49,7.09,5.69,2.07,-1.53,-3.65,1.26
T2M,2016,28.25,92.75,-5.74,-1.19,0.95,4.35,6.28,9,9.72,9.59,7.94,4.69,1.27,-0.77,3.85
QV2M,2015,25.75,90.25,8.39,8.6,9.26,14.54,18.73,20.93,21.2,21.21,20.31,16.98,13.46,9.02,15.25
QV2M,2015,25.75,90.75,8.48,8.73,9.57,14.61,18.52,20.48,20.64,20.62,19.8,16.65,13.2,9.16,15.07
QV2M,2015,25.75,91.25,8.48,8.73,9.64,14.1,17.52,19.62,19.68,19.71,18.92,15.99,12.66,9.06,14.56
QV2M,2015,25.75,91.75,8.36,8.39,9.3,13.49,16.61,18.94,19.12,19.2,18.43,15.36,12.03,8.89,14.02
QV2M,2015,25.75,92.25,8.59,8.48,9.36,13.61,16.75,19.12,19.33,19.42,18.68,15.55,12.09,9.12,14.2
QV2M,2015,25.75,92.75,8.91,8.62,9.42,14.04,17.27,19.64,19.87,19.92,19.24,16.09,12.43,9.47,14.61
QV2M,2015,26.25,90.25,8.9,9.21,9.96,14.25,18.66,21.22,21.44,21.56,20.61,17.16,13.69,9.48,15.53
QV2M,2015,26.25,90.75,9.29,9.73,10.75,14.94,19.07,21.31,21.44,21.52,20.64,17.38,13.85,9.93,15.84
QV2M,2015,26.25,91.25,9.46,9.83,10.89,15.01,18.92,21.21,21.39,21.42,20.57,17.46,13.85,10.1,15.87
QV2M,2015,26.25,91.75,9.31,9.41,10.38,14.38,18.24,20.7,21.03,21.01,20.23,16.99,13.44,9.93,15.43
QV2M,2015,26.25,92.25,9.3,9.25,10.02,14.11,18.03,20.62,20.95,20.94,20.16,16.84,13.24,9.89,15.3
QV2M,2015,26.25,92.75,9.32,9.16,9.75,14.1,18.03,20.72,21,20.97,20.22,16.78,13.1,9.89,15.29
QV2M,2015,26.75,90.25,7.86,8.18,9.04,12.19,16.24,19.03,19.13,19.5,18.41,15,11.88,8.33,13.75
QV2M,2015,26.75,90.75,8.32,8.8,9.83,13.11,17.02,19.53,19.52,19.79,18.73,15.43,12.21,8.86,14.28
QV2M,2015,26.75,91.25,8.64,9.06,10.19,13.55,17.36,19.78,19.84,19.87,18.8,15.62,12.36,9.12,14.53
QV2M,2015,26.75,91.75,8.44,8.77,9.78,13.04,16.85,19.29,19.37,19.35,18.41,15.21,12.02,8.86,14.14
QV2M,2015,26.75,92.25,8.65,8.86,9.66,13,17.02,19.62,19.75,19.68,18.84,15.49,12.23,9.08,14.35
QV2M,2015,26.75,92.75,8.98,9.06,9.72,13.21,17.37,20.12,20.29,20.18,19.38,15.8,12.47,9.41,14.69
QV2M,2015,27.25,90.25,5.47,5.93,6.73,8.8,11.88,14.56,14.58,15.14,14.13,10.88,8.69,5.92,10.26
QV2M,2015,27.25,90.75,5.83,6.39,7.21,9.43,12.56,15.05,14.95,15.38,14.37,11.22,8.95,6.36,10.68
QV2M,2015,27.25,91.25,6.44,7.05,7.97,10.41,13.61,15.9,15.9,15.99,14.95,11.9,9.49,7.02,11.41
QV2M,2015,27.25,91.75,5.85,6.49,7.4,9.63,12.54,14.83,14.75,14.92,13.98,10.9,8.61,6.29,10.53
QV2M,2015,27.25,92.25,6.2,6.75,7.61,9.87,12.98,15.4,15.34,15.47,14.67,11.49,9.09,6.65,10.97
QV2M,2015,27.25,92.75,7.1,7.52,8.37,10.77,14.23,16.78,16.77,16.84,16.06,12.66,10.1,7.57,12.07
QV2M,2015,27.75,90.25,3.11,3.6,4.29,5.68,7.87,10.21,10.25,10.82,10.07,7.08,5.54,3.52,6.86
QV2M,2015,27.75,90.75,3.29,3.82,4.52,5.94,8.25,10.45,10.4,10.88,10.15,7.24,5.69,3.76,7.07
QV2M,2015,27.75,91.25,4,4.7,5.52,7.11,9.61,11.72,11.72,11.93,11.2,8.27,6.59,4.64,8.12
QV2M,2015,27.75,91.75,3.41,4.04,4.91,6.3,8.51,10.62,10.4,10.76,10.1,7.15,5.69,3.96,7.17
QV2M,2015,27.75,92.25,3.56,4.13,5.02,6.45,8.73,10.84,10.58,10.98,10.38,7.42,5.85,4.06,7.33
QV2M,2015,27.75,92.75,4.62,5.19,6.12,7.7,10.28,12.49,12.27,12.63,12,8.87,7.07,5.11,8.7
QV2M,2015,28.25,90.25,1.75,2.06,2.7,3.86,5.36,7.46,7.62,8.26,7.68,4.75,3.36,1.92,4.74
QV2M,2015,28.25,90.75,1.79,2.1,2.72,3.89,5.5,7.53,7.67,8.25,7.71,4.83,3.41,1.98,4.8
QV2M,2015,28.25,91.25,2.14,2.56,3.23,4.43,6.26,8.24,8.3,8.79,8.3,5.37,3.97,2.44,5.34
QV2M,2015,28.25,91.75,2.04,2.37,3.11,4.23,5.96,7.97,7.81,8.35,7.89,4.96,3.77,2.34,5.07
QV2M,2015,28.25,92.25,2.16,2.5,3.25,4.42,6.24,8.2,8.07,8.57,8.13,5.2,3.91,2.5,5.26
QV2M,2015,28.25,92.75,3,3.47,4.3,5.53,7.54,9.6,9.53,9.92,9.48,6.46,4.98,3.39,6.45
QV2M,2016,25.75,90.25,7.4,8.28,9.8,15.62,18.64,21.01,21.34,21.29,20.41,17.46,13.65,10.99,15.52
QV2M,2016,25.75,90.75,7.61,8.62,10.21,16.41,18.35,20.45,20.78,20.79,19.95,17.13,13.49,10.89,15.42
QV2M,2016,25.75,91.25,7.66,8.79,10.41,16.27,17.43,19.59,19.9,19.99,19.07,16.54,13.03,10.53,14.95
QV2M,2016,25.75,91.75,7.61,8.57,10.02,15.58,16.62,19.03,19.34,19.38,18.51,15.86,12.37,10.09,14.42
QV2M,2016,25.75,92.25,7.91,8.94,10.3,15.65,16.77,19.24,19.47,19.59,18.77,16.03,12.35,10.09,14.59
QV2M,2016,25.75,92.75,8.25,9.51,10.77,15.99,17.23,19.7,19.87,20.21,19.3,16.61,12.7,10.22,15.03
QV2M,2016,26.25,90.25,8.04,8.76,10.14,15.24,18.73,21.32,21.67,21.67,20.54,17.34,13.62,11.15,15.69
QV2M,2016,26.25,90.75,8.53,9.47,11.1,16.4,18.96,21.29,21.66,21.75,20.59,17.42,13.84,11.38,16.05
QV2M,2016,26.25,91.25,8.7,9.77,11.44,16.94,18.86,21.24,21.61,21.82,20.57,17.52,13.89,11.38,16.17
QV2M,2016,26.25,91.75,8.65,9.55,10.93,16.33,18.2,20.83,21.22,21.36,20.13,17.03,13.4,11.04,15.73
QV2M,2016,26.25,92.25,8.71,9.56,10.8,15.97,17.94,20.68,21.01,21.2,20.06,16.93,13.13,10.75,15.59
QV2M,2016,26.25,92.75,8.75,9.74,10.91,15.89,17.87,20.66,20.92,21.28,20.12,17.05,13.09,10.53,15.59
QV2M,2016,26.75,90.25,7.17,7.61,8.92,12.51,16.35,19.12,19.48,19.48,18.23,15.06,11.78,9.57,13.78
QV2M,2016,26.75,90.75,7.69,8.27,9.81,13.69,16.94,19.45,19.76,19.87,18.56,15.25,12.08,9.86,14.29
QV2M,2016,26.75,91.25,7.93,8.64,10.25,14.62,17.21,19.59,19.93,20.14,18.71,15.32,12.18,9.98,14.56
QV2M,2016,26.75,91.75,7.84,8.61,10.11,14.45,16.63,19.1,19.51,19.7,18.24,14.93,11.81,9.71,14.24
QV2M,2016,26.75,92.25,8.14,8.92,10.24,14.59,16.75,19.4,19.79,20.01,18.6,15.34,11.98,9.83,14.49
QV2M,2016,26.75,92.75,8.5,9.32,10.55,14.95,17.07,19.84,20.23,20.56,19.15,15.93,12.34,10.06,14.89
QV2M,2016,27.25,90.25,5.16,5.58,6.6,8.58,11.83,14.65,15.09,14.87,13.87,11.1,8.44,6.71,10.22
QV2M,2016,27.25,90.75,5.55,6.05,7.1,9.39,12.39,14.92,15.33,15.19,14.16,11.19,8.65,6.93,10.58
QV2M,2016,27.25,91.25,6.13,6.68,7.78,10.59,13.37,15.62,15.99,15.99,14.89,11.63,9.22,7.42,11.29
QV2M,2016,27.25,91.75,5.6,6.32,7.46,10.15,12.22,14.53,14.97,14.94,13.89,10.65,8.29,6.73,10.49
QV2M,2016,27.25,92.25,5.98,6.74,7.84,10.7,12.63,15.11,15.57,15.52,14.5,11.34,8.79,7.13,11
QV2M,2016,27.25,92.75,6.85,7.62,8.76,11.99,13.84,16.43,16.97,17,15.88,12.72,9.89,8.06,12.17
QV2M,2016,27.75,90.25,3.04,3.59,4.32,5.51,7.7,10.32,10.89,10.43,9.78,7.56,5.1,3.88,6.87
QV2M,2016,27.75,90.75,3.21,3.85,4.56,5.87,7.97,10.37,10.97,10.47,9.9,7.55,5.2,3.96,7.01
QV2M,2016,27.75,91.25,3.97,4.61,5.46,6.99,9.19,11.44,11.99,11.6,11.05,8.33,6.1,4.67,7.97
QV2M,2016,27.75,91.75,3.36,4.14,4.9,6.43,8.06,10.25,10.85,10.45,9.97,7.23,5.18,4.03,7.09
QV2M,2016,27.75,92.25,3.46,4.28,5.04,6.71,8.29,10.5,11.15,10.71,10.2,7.47,5.38,4.21,7.31
QV2M,2016,27.75,92.75,4.49,5.31,6.21,8.26,9.84,12.12,12.88,12.46,11.8,9,6.71,5.35,8.71
QV2M,2016,28.25,90.25,1.59,2.04,2.69,3.62,5.2,7.7,8.51,7.94,7.52,5.5,3.01,2.12,4.81
QV2M,2016,28.25,90.75,1.59,2.07,2.72,3.63,5.25,7.65,8.55,7.93,7.57,5.47,3.01,2.09,4.81
QV2M,2016,28.25,91.25,1.98,2.41,3.2,4.09,5.74,8.12,9.06,8.42,8.09,5.86,3.45,2.41,5.25
QV2M,2016,28.25,91.75,1.86,2.41,3.06,4.04,5.47,7.73,8.72,8.08,7.75,5.47,3.25,2.36,5.03
